$\ell$,"$\mathrm{TiOT}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.2}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.5}(x^{(\ell)}, x^{(0)})$","$\mathrm{TAOT}_{w=0.8}(x^{(\ell)}, x^{(0)})$"
111,0.5561549158507312,0.4245730439901166,0.5125316788901441,0.2432180010624304
112,0.5579953188378394,0.4286968531813285,0.5130177120666022,0.24264720815848634
113,0.5592494462150922,0.4323894370184393,0.5128589106787362,0.24177110747291775
114,0.5596268199301299,0.43540817778092966,0.5116228482295809,0.24063012810201684
115,0.5594743735602458,0.43805190822301193,0.5099850301419102,0.23931512877327046
116,0.5599513135266426,0.4410860997996346,0.5089644644002362,0.23818013105045674
117,0.5599777561477066,0.4437422280618856,0.507397091602916,0.23693013492403817
118,0.5602466872501373,0.44650923502317663,0.5059924362047096,0.23582443471062342
119,0.5597346304454848,0.4487421847694308,0.5040793372697698,0.23455238432573625
120,0.5596674921517341,0.45116903469726344,0.5024777643009677,0.23355021149608493
121,0.5592626895956276,0.4532262346246358,0.5007937802167811,0.23267155754780022
122,0.5599220632824645,0.45600763764570784,0.4998872583110366,0.23208876638804643
123,0.5613686112642576,0.4595197789549675,0.4996569130701634,0.23135989483246047
124,0.5606661928775023,0.4615120400466962,0.4976980505286794,0.2300783482368286
125,0.5601927601980996,0.4636418330711268,0.4958403627609409,0.2287428181774975
126,0.5596835108215694,0.46579116827088485,0.4940148290965208,0.22741602009655623
127,0.5590391159738776,0.46772339471578156,0.49218140370822494,0.22616043096384145
128,0.5581387795685424,0.4693769928570256,0.49013324189950447,0.2248091105678069
129,0.5573937900914051,0.4711078193387204,0.4881397272793013,0.22347488595135093
130,0.5567005968859398,0.472945389281223,0.4862263714072777,0.2221499157243609
131,0.5574171496147571,0.4756265862756718,0.4849554898340274,0.22104398600496625
132,0.5586127846481221,0.4784698515030984,0.4839921857639661,0.22013511663640964
133,0.5589208661544468,0.48017872206149975,0.4826199781770932,0.21926169514582766
134,0.5590630781192788,0.4820157096394481,0.4810254305832954,0.21828888682377556
135,0.558879982272755,0.48392472420162497,0.47932138660201756,0.21716428702036902
136,0.5587423482930683,0.4858025476079165,0.4776164604412681,0.21604911696415885
137,0.5587171718823962,0.48786514746237875,0.4760511739837078,0.2149516818549687
138,0.5594361588181063,0.49025467455241833,0.4747287917069394,0.21396251530299204
